,course,institution,url,admission req,language req,deadline
0,Bachelor's in International Business (BIB),HTW Berlin University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3906/,http://bib.htw-berlin.de/applying/,https://www.htw-berlin.de/en/studies/applications/applying-with-foreign-certificates/proof-of-english-proficiency/,15 January for the following summer semester; 15 July for the following winter semester
1,Cruise Tourism Management,University of Applied Sciences Bremerhaven,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7839/,"The essential requirement for admission into the CTM programme is the successful acquirement of a higher education entrance qualification (Fachhochschulreife, High School Diploma, A-Levels, Baccalaureat, Gao Kao, etc.). Non-European applicants might need to apply via uni-assist.","Applicants must provide proof of their German and English skills according to the Common European Framework of Reference (CEFR):
German level A1
English level C1 (exceptions: English native speakers and/or a preceding Bachelor's study programme taught 100% in English)","Non-EU applicants:
Winter semester: 30 June
Summer semester: 31 December
EU applicants:
Winter semester: 15 July
Summer semester: 15 February
More information:https://www.hs-bremerhaven.de/studienangebot/bachelorstudiengaenge/cruise-tourism-management/entry-requirements-application/"
2,"Digital Technology and Management (BSc), full-time",Ostbayerische Technische Hochschule Amberg-Weiden (OTH),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7702/,"University entrance qualification (uni-assist VPD)
	English language skills at B2 level according to the Common European Framework of Reference for Languages (details below)
	German level A2 according to the Common European Framework of Reference for Languages (details below)

You can apply for a place within the application period in the application portal of the OTH Amberg-Weiden.
Please note: In some years, the application period is extended. Please check our website for last minute applications.
The general admission requirements can be found here.","English language skills at B2 level according to the Common European Framework of Reference for Languages: ALTE (Level 3), UNIcert® II, Cambridge English (First/FCE), TOEFL (min. 72), IELTS (5.0 or better), PTE Academic (min. 59) or TOEIC (min. 785)
German level A2 according to the Common European Framework of Reference for Languages (This is required upon entering the study programme! This means you can apply without proof of A2 level knowledge of German, but you must provide it before the first day of your first semester.)
Why is this required? A special feature of the programme is that non-native German speaking students will acquire sufficient language skills in German to be able to enter the German labour market at the beginning of the practical study semester and be able to complete the third study section partly in German with an appropriate choice of specialisation modules.","The programme integrates practical applications in our laboratories, state-of-the-art machinery and equipment (e.g. collaborative robotics, driverless transportation system, VR, etc.) and most commonly used programming languages and software (e.g. customised SAP ERP system, BI) in as many courses as possible. An extensive digital library is available. Moodle serves as a learning platform. Access to all aspects mentioned is free of charge to students."
3,E-Commerce,Rosenheim Technical University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7974/,"A general or subject-specific higher education entrance qualification is sufficient to qualify for the study programme. Check whether you are eligible to apply at the DAAD database on admission requirements. 
For the application you must prove your higher education entrance qualification with a preliminary review documentation / Vorprüfungsdokumentation (VPD) from uni-assist. You can apply for a VPD at www.uni-assist.de/en/.
Application for a VPD at uni-assist is possible from the following dates:
Summer semester: 1 September
	Winter semester: 1 March

The VPD will be valid for one year. It takes approximately four to six weeks until you will receive your result. Please take this into account when planning your application.","In order to apply for the programme, you will need a language level English B2 according to the CEFR.
The following English language tests are recognised:
Internet-based TOEFL with 72 or more points
	IELTS with a band score of 6.0 or higher
	Cambridge CEFR B2 First (FCE), Grade C or higher
	Cambridge CEFR C1 Advanced (CAE) with level B2 or higher
	At least six years of English tuition at school with a minimum grade of “satisfactory” in the final year, evidenced by a German higher education entrance qualification or an equivalent recognised higher education entrance qualification from a non-German school.

Native English speakers are not required to submit proof of adequate English language skills. In cases of doubt or non-submission of proof, applicants may be required additionally/alternatively to pass a language test comparable to those listed above at Rosenheim Technical University.","15 July for winter semester
	15 January for summer semester
"
4,International Business & Management (IBM),Fulda University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5651/,"University entrance qualification (Hochschulzugangsberechtigung, HZB) for German universities",English language skills at level B2,"EU-nationals:
Winter semester: 15 July
	Summer semester: 15 January

Other nationalities:
Winter semester: 15 June
	Summer semester: 15 December

For updates and details see: https://www.hs-fulda.de/en/international/international-office/admissions/undergraduate-admissions/"
5,"International Business (BA), full-time",Ostbayerische Technische Hochschule Amberg-Weiden (OTH),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6358/,"The International Business Degree programme does not require applicants to pass an aptitude test. You can apply for a place within the application period in the application portal of the OTH Amberg-Weiden.
Please note: In some years, the application period is extended. Please check our website for last minute applications.
General information about application, admission and enrolment can be found here. Access and admission requirements for the study programme can be found on the Access and Admission Requirements page.","A special feature of the course is that it is held 100 percent in English. For this reason, there are special qualification requirements for the programme, which applicants should fulfil or provide proof of:

	Applicants with a school leaving certificate from a foreign school are recommended to submit a certificate of recognition of the school leaving certificate issued by a certified institution (e.g. uni-assist) by the end of the application period. The decision on admission to the course of study is made by the examination board.
	
	
	Sufficient knowledge of the English language must be demonstrated with a language certificate corresponding to level B2 in accordance with the Common European Framework of Reference for Languages. This proof can be provided by a valid/current IBT (Internet-based Test) Test of English as a Foreign Language (TOEFL) with a score of at least 71, IELTS Cambridge Test with 6, the Test of English for International Communication (TOEIC) with a score of at least 780, or equivalent proof, e.g. by corresponding modules in the final certificate. Proof is not required if the university entrance qualification or the university degree was obtained in English.
	
	
	Basic knowledge of German at A2 level must be proven within one year.
	
","Winter semester application period
For the winter semester starting 1 October, you can apply from 1 May until 15 July.
Summer semester application period
If you prefer to commence your studies in the summer semester, you can apply for admission from 15 November until 15 January."
6,International Business Management,Hochschule für Wirtschaft und Recht Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3831/,"University entrance qualification equivalent to the German school-leaving certificate, or similar
	CV (approx. one page)
	letter of motivation in English (max. 300 words)
	voluntary test for applicants from non-EU countries - TestAS (http://www.testas.de)
","Excellent English language proficiency, equivalent to at least level B2 of the Common European Framework of Reference for Languages:
e.g., TOEFL: iBT 79, PBT 550, CBT 213 points
	or IELTS min. band score 5.0
	or TOEIC: min. 800 points
	ELSA: min. 383 points (Advanced / Advanced High)
	CPE: all levels
	CAE: all levels
	FCE: min. level C
	BEC Higher: min. BEC 2

Applicants must fulfil the above requirements or all tests submitted must have a score equivalent to at least level B2 of the Common European Framework of Reference for Languages (CEFR).
The following are accepted as equivalents:
""Englisch-Leistungskurs"" before graduation (with a minimum average of 2.0 (= 10 points German grade))
	minimum of one-year stay at an English-speaking school, university, or another institution with English as the language of tuition

Basic skills in German required, minimum level A2 of the CEFR
International applicants (whose mother tongue is not German) must choose German as their second language.
For applicants with a German school leaving certificate or German native speakers: basic knowledge of an additional language (French or Spanish)
All tests are accepted which correspond to at least level B1 of the CEFR. The following are accepted as equivalents:
school subject French (taught for a minimum of four years before graduation)
	school subject Spanish (taught for a minimum of three years before graduation)
	""Leistungskurs"" (before graduation) in French or Spanish
	minimum of one-year stay at a French or Spanish school, university, or another institution with French or Spanish as the language of tuition
","15 July (for the following winter semester)
15 January (for the following summer semester)"
7,"Sustainable Resources, Engineering and Management (StREaM)",Magdeburg-Stendal University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7281/,"No restricted admission
Special admission requirement:
Evidence of English language knowledge must be provided (see language requirements below).","Evidence of English language knowledge at the following level must be provided: Level B2 or above according to the Common European Framework of References for Languages (CEFR).
Evidence of the necessary English language skills can be provided in the form of one of the following:
TOEFL (Test of English as a Foreign Language), iBT 72 to 94 points
	IELTS (International English Language Testing System), points: 5.0
	telc B2 – Certificate
	UNIcert II
	Cambridge First Certificate in English (FCE)
","Applicants with foreign certificates: 30 November
Applicants with German certificates: 15 January"
